job_id,model_family,gpu_id,minutes,label,ghost_type,ghost_onset
1,unet2d,5,76,healthy,none,-1
2,resnet,0,66,healthy,none,-1
3,unet2d,7,235,healthy,none,-1
4,resnet,6,205,healthy,none,-1
5,vit,7,128,healthy,none,-1
6,resnet,5,177,healthy,none,-1
7,unet2d,5,173,ghost,stalled,123
8,resnet,5,158,healthy,none,-1
9,vit,2,79,healthy,none,-1
10,unet2d,7,183,healthy,none,-1
11,vit,2,195,healthy,none,-1
12,resnet,3,152,healthy,none,-1
13,unet2d,3,120,ghost,frozen,69
14,vit,2,203,healthy,none,-1
15,resnet,7,159,ghost,nan_loss,94
16,resnet,5,174,healthy,none,-1
17,resnet,6,69,ghost,stalled,54
18,unet3d,1,123,healthy,none,-1
19,vit,2,176,healthy,none,-1
20,unet3d,1,84,healthy,none,-1
21,vit,6,233,healthy,none,-1
22,unet3d,0,205,healthy,none,-1
23,unet2d,2,238,ghost,nan_loss,165
24,unet2d,5,158,healthy,none,-1
25,unet3d,4,122,healthy,none,-1
26,unet2d,7,226,healthy,none,-1
27,unet2d,0,177,ghost,frozen,73
28,unet3d,1,128,healthy,none,-1
29,unet2d,4,203,healthy,none,-1
30,unet2d,1,140,healthy,none,-1
31,unet2d,6,199,healthy,none,-1
32,efficientnet,3,89,ghost,frozen,63
33,vit,2,133,healthy,none,-1
34,efficientnet,0,137,ghost,stalled,104
35,unet2d,2,240,healthy,none,-1
36,unet2d,0,162,healthy,none,-1
37,resnet,4,224,healthy,none,-1
38,resnet,3,129,healthy,none,-1
39,resnet,1,68,ghost,stalled,38
40,vit,3,208,ghost,frozen,71
41,vit,0,180,healthy,none,-1
42,vit,0,80,healthy,none,-1
43,efficientnet,4,140,ghost,frozen,59
44,unet2d,6,233,healthy,none,-1
45,efficientnet,0,158,ghost,nan_loss,115
46,resnet,1,155,ghost,stalled,79
47,efficientnet,5,77,healthy,none,-1
48,efficientnet,3,170,healthy,none,-1
49,efficientnet,0,87,healthy,none,-1
50,efficientnet,0,203,healthy,none,-1
51,resnet,0,152,healthy,none,-1
52,resnet,6,192,ghost,stalled,136
53,efficientnet,5,169,healthy,none,-1
54,efficientnet,2,72,healthy,none,-1
55,efficientnet,2,181,ghost,stalled,92
56,unet2d,1,211,healthy,none,-1
57,vit,7,87,healthy,none,-1
58,unet2d,5,63,ghost,nan_loss,37
59,efficientnet,7,215,healthy,none,-1
60,resnet,7,157,healthy,none,-1
61,unet2d,4,211,healthy,none,-1
62,efficientnet,5,199,healthy,none,-1
63,vit,6,181,healthy,none,-1
64,efficientnet,7,102,healthy,none,-1
65,unet2d,3,168,healthy,none,-1
66,unet3d,1,78,healthy,none,-1
67,resnet,2,216,healthy,none,-1
68,resnet,4,72,healthy,none,-1
69,vit,5,137,ghost,frozen,46
70,vit,7,87,healthy,none,-1
71,unet2d,0,119,ghost,nan_loss,74
72,unet2d,3,199,ghost,nan_loss,99
73,vit,6,109,healthy,none,-1
74,resnet,0,163,healthy,none,-1
75,resnet,7,207,healthy,none,-1
76,unet2d,7,167,ghost,nan_loss,58
77,unet2d,4,198,healthy,none,-1
78,resnet,7,145,healthy,none,-1
79,vit,0,229,healthy,none,-1
80,efficientnet,4,86,healthy,none,-1
81,vit,0,91,healthy,none,-1
82,unet2d,3,118,ghost,stalled,52
83,efficientnet,0,143,healthy,none,-1
84,efficientnet,3,115,healthy,none,-1
85,efficientnet,1,85,healthy,none,-1
86,resnet,5,99,healthy,none,-1
87,unet3d,1,76,healthy,none,-1
88,resnet,5,175,healthy,none,-1
89,resnet,4,90,healthy,none,-1
90,resnet,5,117,ghost,stalled,67
91,resnet,2,75,ghost,frozen,55
92,unet3d,4,210,healthy,none,-1
