job_id,minute,gpu_util,mem_util,loss,checkpoint
1,0,85.85,55.19,2.964,0
1,1,83.52,57.16,2.8997,0
1,2,81.73,63.24,2.7925,0
1,3,88.59,60.62,2.7077,0
1,4,86.44,56.61,2.5981,0
1,5,87.65,55.67,2.5561,0
1,6,87.0,58.81,2.4717,0
1,7,87.66,55.06,2.375,0
1,8,89.86,56.7,2.3742,0
1,9,93.5,59.65,2.3744,0
1,10,93.19,62.18,2.3779,0
1,11,93.36,60.54,2.3792,0
1,12,93.23,51.84,2.3743,0
1,13,93.59,59.62,2.3753,0
1,14,94.78,58.93,2.3761,0
1,15,91.15,59.95,2.3778,0
1,16,93.24,63.56,2.3745,0
1,17,93.62,52.52,2.3754,0
1,18,93.72,56.94,2.3766,0
1,19,93.12,60.48,2.3762,0
1,20,91.88,53.97,2.3753,0
1,21,93.75,63.14,2.3756,0
1,22,95.01,59.82,2.3741,0
1,23,92.08,61.25,2.3754,0
1,24,94.23,57.0,2.3754,0
1,25,93.16,61.15,2.376,0
1,26,93.4,61.92,2.375,0
1,27,92.51,59.41,2.3763,0
1,28,93.16,59.41,2.3769,0
1,29,94.63,59.52,2.3759,0
1,30,93.98,56.12,2.3761,0
1,31,95.02,58.27,2.3758,0
1,32,94.52,58.25,2.3757,0
1,33,93.85,59.86,2.3748,0
1,34,95.03,61.71,2.3761,0
1,35,93.85,55.53,2.3756,0
1,36,94.2,58.33,2.3782,0
1,37,93.19,63.15,2.3776,0
1,38,93.52,56.48,2.3762,0
1,39,92.83,56.24,2.3748,0
1,40,94.35,59.32,2.3744,0
1,41,92.4,61.24,2.3771,0
1,42,94.16,58.74,2.376,0
1,43,93.28,62.7,2.3763,0
1,44,94.51,61.28,2.3736,0
1,45,94.13,61.24,2.3768,0
1,46,95.09,60.37,2.3763,0
1,47,94.11,65.69,2.3744,0
1,48,92.04,58.09,2.3751,0
1,49,49.59,52.7,0.9332,0
1,50,49.68,63.52,0.9315,0
1,51,47.89,57.34,0.93,0
1,52,50.27,59.03,0.9335,0
1,53,49.19,62.64,0.9252,0
1,54,49.83,53.9,0.9269,1
1,55,49.41,54.96,0.9261,0
1,56,50.35,53.91,0.9277,0
1,57,48.36,56.33,0.9247,0
1,58,48.71,60.03,0.9309,0
1,59,82.33,60.28,0.9282,0
1,60,84.68,59.54,0.9244,0
